,Pass,Profit,Total_trades,Profit_factor,Expected_Payoff,Drawdown_$,Drawdown_%,??,volume_1,volume_2,volume_3,pips2,pips3,pips1,hiddenAction,timeFrame,risk ratio
302,325140,2597.3,63,5.5,41.23,2486.76,2.48,0.0,10 ,0.4 ,0.2 ,12 ,17,1 ,0,1440,1.04445141469221
303,177617,2473.63,63,7.52,39.26,1853.34,1.85,0.0,7 ,0.2 ,0.7 ,11 ,10,1 ,0,1440,1.3346876450084713
304,289032,932.35,63,4.81,14.8,586.5,0.59,0.0,2 ,0.4 ,0.1 ,18 ,15,1 ,0,1440,1.589684569479966
305,257266,2301.8,63,8.67,36.54,1642.2,1.64,0.0,6 ,0.7 ,0.3 ,7 ,14,1 ,0,1440,1.4016563146997931
306,147740,3224.48,63,34.59,51.18,2627.52,2.62,0.0,10 ,0.4 ,0.8 ,2 ,9,1 ,0,1440,1.2271952259164536
307,81782,1966.48,63,12.28,31.21,868.02,0.87,0.0,2 ,0.9 ,0.8 ,20 ,5,1 ,0,1440,2.2654777539688027
308,218410,2577.22,63,5.47,40.91,2486.76,2.48,0.0,10 ,0.1 ,0.5 ,10 ,12,1 ,0,1440,1.0363766507423313
309,144183,1637.64,63,6.5,25.99,961.86,0.96,0.0,3 ,0.9 ,0.2 ,20 ,8,1 ,0,1440,1.702576258499158
310,354956,2898.96,63,5.51,46.02,1782.96,1.78,0.0,6 ,0.6 ,1 ,20 ,18,1 ,0,1440,1.6259254273791897
311,31550,2895.59,63,7.69,45.96,2604.06,2.60,0.0,10 ,0.5 ,0.6 ,12 ,3,1 ,0,1440,1.1119521055582438
312,90951,1675.04,63,0.0,26.59,609.96,0.61,0.0,1 ,0.6 ,1 ,8 ,6,1 ,0,1440,2.746147288346777
313,356909,3197.25,63,4.6,50.75,2369.46,2.36,0.0,9 ,0.1 ,1 ,22 ,18,1 ,0,1440,1.34935808158821
314,212073,1309.56,63,17.17,20.79,914.94,0.91,0.0,3 ,0.8 ,0.1 ,4 ,12,1 ,0,1440,1.4313069709489146
315,98018,1877.81,63,5.8,29.81,1947.18,1.94,0.0,8 ,0.2 ,0.1 ,16 ,6,1 ,0,1440,0.9643741205230127
316,170969,3673.28,63,15.41,58.31,2510.22,2.50,0.0,9 ,0.7 ,1 ,4 ,10,1 ,0,1440,1.463329907338799
317,190243,1333.52,63,19.52,21.17,891.48,0.89,0.0,3 ,0.5 ,0.3 ,3 ,11,1 ,0,1440,1.495849598420604
318,114,961.76,63,25.04,15.27,1032.24,1.03,0.0,4 ,0.2 ,0.2 ,2 ,2,1 ,0,1440,0.9317213051228397
319,369701,1514.76,63,17.9,24.04,454.3,0.45,0.0,1 ,0.1 ,0.8 ,14 ,19,1 ,0,1440,3.334272507153863
320,404283,1929.36,63,12.52,30.62,985.32,0.98,0.0,3 ,0.9 ,0.3 ,7 ,21,1 ,0,1440,1.9581049811228837
321,285727,3165.81,63,7.83,50.25,1900.26,1.90,0.0,7 ,0.3 ,0.8 ,14 ,15,1 ,0,1440,1.6659878121941207
322,39295,2166.22,63,5.84,34.38,1477.98,1.47,0.0,5 ,1 ,0.3 ,20 ,3,1 ,0,1440,1.4656625935398313
323,125311,808.64,63,15.0,12.84,375.36,0.38,0.0,1 ,0.2 ,0.4 ,22 ,7,1 ,0,1440,2.154305200341006
324,252,727.16,63,21.4,11.54,680.34,0.68,0.0,2 ,0.6 ,0.3 ,2 ,2,1 ,0,1440,1.0688185319105152
325,161935,2728.34,63,9.68,43.31,1501.44,1.50,0.0,5 ,0.4 ,1 ,16 ,9,1 ,0,1440,1.8171488704177323
326,184842,2079.36,63,15.7,33.01,797.64,0.80,0.0,2 ,0.5 ,0.9 ,18 ,10,1 ,0,1440,2.6068903264630663
327,168617,2512.16,63,40.88,39.88,1853.34,1.85,0.0,7 ,0.2 ,0.7 ,2 ,10,1 ,0,1440,1.355477138571444
328,237631,1718.84,63,0.0,27.28,492.66,0.49,0.0,1 ,0.4 ,0.7 ,8 ,13,1 ,0,1440,3.4888970080785935
329,168618,2713.56,63,38.69,43.07,2087.94,2.08,0.0,8 ,0.2 ,0.7 ,2 ,10,1 ,0,1440,1.2996350469841087
330,50742,1503.32,63,19.91,23.86,774.18,0.77,0.0,2 ,0.5 ,0.8 ,10 ,4,1 ,0,1440,1.9418223152238498
331,226446,2428.75,63,5.49,38.55,1642.2,1.64,0.0,6 ,0.5 ,0.5 ,18 ,12,1 ,0,1440,1.478961149677262
332,244442,1826.2,63,10.63,28.99,703.8,0.70,0.0,2 ,0.5 ,0.5 ,15 ,13,1 ,0,1440,2.5947712418300655
333,282183,2076.64,63,12.83,32.96,961.86,0.96,0.0,3 ,0.9 ,0.2 ,11 ,15,1 ,0,1440,2.1589836358721644
334,244803,2375.94,63,13.46,37.71,938.4,0.94,0.0,3 ,0.1 ,0.9 ,15 ,13,1 ,0,1440,2.53190537084399
335,36771,1547.04,63,0.0,24.56,609.96,0.61,0.0,1 ,0.8 ,0.8 ,17 ,3,1 ,0,1440,2.536297462128664
336,65071,757.76,63,17.97,12.03,445.74,0.45,0.0,1 ,0.8 ,0.1 ,4 ,5,1 ,0,1440,1.7000044869206263
337,215295,2520.52,63,13.93,40.01,1477.98,1.48,0.0,5 ,1 ,0.3 ,7 ,12,1 ,0,1440,1.7053816695760429
338,215469,3163.08,63,8.53,50.21,2392.92,2.39,0.0,9 ,0.7 ,0.5 ,7 ,12,1 ,0,1440,1.32184945589489
339,351715,1825.1,63,3.8,28.97,1407.6,1.40,0.0,5 ,0.2 ,0.8 ,17 ,18,1 ,0,1440,1.2966041489059392
340,288475,2591.83,63,6.78,41.14,1477.98,1.47,0.0,5 ,0.8 ,0.5 ,17 ,15,1 ,0,1440,1.7536299543972178
341,212983,2702.96,63,29.68,42.9,1149.54,1.15,0.0,3 ,0.9 ,1 ,4 ,12,1 ,0,1440,2.3513405362144857
342,92835,2308.84,63,12.12,36.65,1477.98,1.48,0.0,5 ,0.4 ,0.9 ,10 ,6,1 ,0,1440,1.5621591631821812
343,237964,2968.28,63,13.51,47.12,1337.22,1.33,0.0,4 ,0.7 ,1 ,8 ,13,1 ,0,1440,2.219739459475629
344,142474,2246.08,63,6.79,35.65,1243.38,1.24,0.0,4 ,0.8 ,0.5 ,18 ,8,1 ,0,1440,1.8064308578230306
345,164215,1493.07,63,4.92,23.7,1290.3,1.29,0.0,5 ,0.2 ,0.3 ,19 ,9,1 ,0,1440,1.157149500116252
346,129857,2940.4,63,17.34,46.67,1994.1,1.99,0.0,7 ,0.6 ,0.9 ,5 ,8,1 ,0,1440,1.4745499222706986
347,420957,4172.24,63,66.19,66.23,2017.56,2.01,0.0,7 ,0.6 ,1 ,2 ,22,1 ,0,1440,2.0679632823806973
348,120195,2075.18,63,4.7,32.94,1454.52,1.45,0.0,5 ,1 ,0.2 ,17 ,7,1 ,0,1440,1.4267112174463052
349,347725,2854.13,63,11.74,45.3,1431.06,1.43,0.0,5 ,0.3 ,0.8 ,13 ,18,1 ,0,1440,1.994416726063198
350,236532,1621.2,63,12.61,25.73,703.8,0.70,0.0,2 ,0.4 ,0.6 ,7 ,13,1 ,0,1440,2.3034953111679455
351,97184,2379.87,63,9.68,37.78,1196.46,1.19,0.0,4 ,0.9 ,0.2 ,15 ,6,1 ,0,1440,1.9890928238302992
352,424377,2848.0,63,10.49,45.21,1923.72,1.92,0.0,7 ,0.8 ,0.4 ,6 ,22,1 ,0,1440,1.480464932526563
353,192758,3357.76,63,16.99,53.3,2205.24,2.20,0.0,8 ,0.6 ,0.8 ,5 ,11,1 ,0,1440,1.5226279225843902
354,440740,3680.2,63,4.48,58.42,2627.52,2.62,0.0,10 ,0.4 ,0.8 ,22 ,22,1 ,0,1440,1.4006363414931189
355,54469,3177.17,63,8.08,50.43,2392.92,2.39,0.0,9 ,0.7 ,0.5 ,14 ,4,1 ,0,1440,1.3277376594286479
356,83964,2256.28,63,8.29,35.81,1337.22,1.33,0.0,4 ,0.7 ,1 ,22 ,5,1 ,0,1440,1.6872915451458999
357,404456,2742.64,63,10.97,43.53,1665.66,1.66,0.0,6 ,0.6 ,0.5 ,7 ,21,1 ,0,1440,1.646578533434194
358,56132,1054.52,63,8.01,16.74,609.96,0.61,0.0,2 ,0.4 ,0.2 ,16 ,4,1 ,0,1440,1.7288346776837824
359,433538,2925.96,63,6.21,46.44,2111.4,2.11,0.0,8 ,0.4 ,0.6 ,15 ,22,1 ,0,1440,1.3857914180164819
360,331857,2779.45,63,4.56,44.12,1994.1,1.99,0.0,7 ,0.6 ,0.9 ,18 ,17,1 ,0,1440,1.393836818614914
361,243939,4097.94,63,8.73,65.05,2439.84,2.43,0.0,9 ,0.4 ,1 ,14 ,13,1 ,0,1440,1.6795937438520556
362,45052,895.08,63,13.84,14.21,633.42,0.63,0.0,2 ,0.6 ,0.1 ,5 ,4,1 ,0,1440,1.4130908402008149
363,389262,1940.52,63,13.16,30.8,703.8,0.70,0.0,2 ,0.7 ,0.3 ,13 ,20,1 ,0,1440,2.757203751065644
364,255036,1629.6,63,10.05,25.87,1524.9,1.52,0.0,6 ,0.4 ,0.1 ,5 ,14,1 ,0,1440,1.0686602400157386
365,336513,1933.12,63,81.55,30.68,891.48,0.89,0.0,3 ,0.2 ,0.6 ,2 ,18,1 ,0,1440,2.168439000314084
366,326549,3389.41,63,7.4,53.8,2369.46,2.36,0.0,9 ,0.5 ,0.6 ,13 ,17,1 ,0,1440,1.4304567285373038
367,50556,2323.86,63,9.57,36.89,1689.12,1.69,0.0,6 ,0.6 ,0.6 ,10 ,4,1 ,0,1440,1.3757814720090937
368,277741,1950.92,63,0.0,30.97,539.58,0.54,0.0,1 ,0.5 ,0.8 ,6 ,15,1 ,0,1440,3.6156269691241336
369,39727,2005.32,63,6.3,31.83,1900.26,1.90,0.0,7 ,0.3 ,0.8 ,20 ,3,1 ,0,1440,1.0552871712292002
370,389980,4986.06,63,10.18,79.14,2768.28,2.76,0.0,10 ,0.8 ,1 ,13 ,20,1 ,0,1440,1.8011400580866097
371,286113,1186.84,63,6.29,18.84,797.64,0.80,0.0,3 ,0.2 ,0.2 ,15 ,15,1 ,0,1440,1.4879394212928136
372,368879,4699.27,63,10.16,74.59,2510.22,2.50,0.0,9 ,0.8 ,0.9 ,13 ,19,1 ,0,1440,1.872055039000566
373,139496,3241.7,63,8.03,51.46,1759.5,1.76,0.0,6 ,1 ,0.5 ,15 ,8,1 ,0,1440,1.8423984086388177
374,228356,2326.28,63,4.79,36.93,1642.2,1.64,0.0,6 ,0.6 ,0.4 ,20 ,12,1 ,0,1440,1.4165631469979296
375,317519,2938.4,63,12.13,46.64,2299.08,2.29,0.0,9 ,0.2 ,0.6 ,4 ,17,1 ,0,1440,1.2780764479704927
376,78633,1485.64,63,9.18,23.58,961.86,0.96,0.0,3 ,0.4 ,0.7 ,17 ,5,1 ,0,1440,1.5445491027800304
377,26481,1332.96,63,0.0,21.16,563.04,0.56,0.0,1 ,0.9 ,0.5 ,7 ,3,1 ,0,1440,2.367433930093777
378,4795,2024.72,63,12.82,32.14,1595.28,1.59,0.0,5 ,1 ,0.8 ,6 ,2,1 ,0,1440,1.2691941226618526
379,126821,1305.88,63,0.0,20.73,516.12,0.52,0.0,1 ,0.3 ,0.9 ,2 ,8,1 ,0,1440,2.53018677826862
380,236220,2531.05,63,7.29,40.18,2463.3,2.46,0.0,10 ,0.2 ,0.3 ,7 ,13,1 ,0,1440,1.0275037551252384
381,128083,1312.6,63,15.58,20.83,938.4,0.94,0.0,3 ,0.9 ,0.1 ,4 ,8,1 ,0,1440,1.3987638533674338
382,428167,2552.91,63,7.73,40.52,1853.34,1.85,0.0,7 ,0.7 ,0.2 ,10 ,22,1 ,0,1440,1.3774644695522678
383,413672,2146.4,63,12.04,34.07,835.5,0.82,0.0,2 ,0.8 ,0.7 ,16 ,21,1 ,0,1440,2.5690005984440454
384,395218,1900.55,63,3.37,30.17,1994.1,1.99,0.0,8 ,0.2 ,0.3 ,19 ,20,1 ,0,1440,0.9530866054861843
385,43259,2154.96,63,8.98,34.21,2322.54,2.32,0.0,9 ,0.6 ,0.3 ,3 ,4,1 ,0,1440,0.9278462373091529
386,169394,1714.16,63,13.29,27.21,1266.84,1.27,0.0,4 ,1 ,0.4 ,3 ,10,1 ,0,1440,1.3530990496037385
387,354552,1723.28,63,10.93,27.35,750.72,0.75,0.0,2 ,0.6 ,0.6 ,20 ,18,1 ,0,1440,2.2955029838022165
388,139291,2022.92,63,0.0,32.11,539.58,0.54,0.0,1 ,1 ,0.3 ,15 ,8,1 ,0,1440,3.74906408688239
389,126752,1501.36,63,55.71,23.83,797.64,0.80,0.0,2 ,0.6 ,0.8 ,2 ,8,1 ,0,1440,1.8822526453036457
390,237391,1874.96,63,0.0,29.76,563.04,0.56,0.0,1 ,1 ,0.4 ,8 ,13,1 ,0,1440,3.3300653594771243
391,427575,3106.02,63,13.21,49.3,1501.44,1.50,0.0,5 ,0.8 ,0.6 ,9 ,22,1 ,0,1440,2.0686940537084397
392,320089,2644.08,63,6.88,41.97,2346.0,2.34,0.0,9 ,0.9 ,0.1 ,7 ,17,1 ,0,1440,1.1270588235294117
393,73490,3690.03,63,8.62,58.57,2674.44,2.67,0.0,10 ,0.9 ,0.5 ,12 ,5,1 ,0,1440,1.3797393099116078
394,304256,2557.23,63,8.86,40.59,1618.74,1.62,0.0,6 ,0.6 ,0.3 ,12 ,16,1 ,0,1440,1.5797657437266022
395,283,1039.68,63,22.88,16.5,985.32,0.98,0.0,3 ,0.9 ,0.3 ,2 ,2,1 ,0,1440,1.0551698940445744
396,431936,3750.98,63,12.09,59.54,1736.04,1.73,0.0,6 ,0.4 ,1 ,13 ,22,1 ,0,1440,2.1606529803460752
397,256128,1941.4,63,5.85,30.82,1994.1,1.99,0.0,8 ,0.3 ,0.2 ,6 ,14,1 ,0,1440,0.9735720375106566
398,354048,2031.82,63,3.4,32.25,2017.56,2.01,0.0,8 ,0.5 ,0.1 ,20 ,18,1 ,0,1440,1.0070679434564525
399,78197,2331.98,63,4.42,37.02,1923.72,1.92,0.0,7 ,1 ,0.2 ,17 ,5,1 ,0,1440,1.2122242322167467
400,324077,2588.67,63,7.82,41.09,1853.34,1.85,0.0,7 ,0.8 ,0.1 ,11 ,17,1 ,0,1440,1.3967593641749492
401,189894,2487.36,63,34.06,39.48,1384.14,1.38,0.0,4 ,1 ,0.9 ,2 ,11,1 ,0,1440,1.7970436516537345
402,205481,2059.96,63,0.0,32.7,563.04,0.56,0.0,1 ,0.9 ,0.5 ,18 ,11,1 ,0,1440,3.658638817845979
403,123144,1365.23,63,4.41,21.67,1102.62,1.10,0.0,4 ,0.5 ,0.2 ,20 ,7,1 ,0,1440,1.238169088171809
404,205928,3240.1,63,6.61,51.43,2181.78,2.18,0.0,8 ,0.3 ,1 ,18 ,11,1 ,0,1440,1.4850718220902197
405,280985,3471.76,63,12.45,55.11,1618.74,1.61,0.0,5 ,0.9 ,1 ,9 ,15,1 ,0,1440,2.144729851612983
406,6284,1970.08,63,14.68,31.27,1219.92,1.22,0.0,4 ,0.9 ,0.3 ,8 ,2,1 ,0,1440,1.614925568889763
407,97438,2579.04,63,7.08,40.94,2087.94,2.08,0.0,8 ,0.4 ,0.5 ,15 ,6,1 ,0,1440,1.2352079082732261
408,20039,1998.64,63,3.46,31.72,2228.7,2.22,0.0,9 ,0.4 ,0.1 ,22 ,2,1 ,0,1440,0.8967739040696371
409,96293,2341.72,63,11.57,37.17,1008.78,1.01,0.0,3 ,1 ,0.3 ,14 ,6,1 ,0,1440,2.321338646682131
410,40720,2494.78,63,6.42,39.6,2580.6,2.58,0.0,10 ,0.2 ,0.8 ,21 ,3,1 ,0,1440,0.9667441680229405
411,25402,727.04,63,13.12,11.54,609.96,0.61,0.0,2 ,0.1 ,0.5 ,6 ,3,1 ,0,1440,1.1919470129188798
412,147506,2038.68,63,37.41,32.36,1571.82,1.57,0.0,6 ,0.1 ,0.6 ,2 ,9,1 ,0,1440,1.297018742604115
